15,0,50,0.5
15,1.83816,0
15.0104,1.83929,0
15.0208,1.84042,0
15.0312,1.84156,0
15.0416,1.84271,0
15.052,1.84386,0
15.0624,1.84503,0
15.0727,1.8462,0
15.0831,1.84737,0
15.0935,1.84856,0
15.1039,1.84975,0
15.1143,1.85095,0
15.1247,1.85215,0
15.1351,1.85337,0
15.1455,1.85458,0
15.1558,1.85581,0
15.1662,1.85704,0
15.1766,1.85828,0
15.187,1.85953,0
15.1974,1.86078,0
15.2077,1.86204,0
15.2181,1.86331,0
15.2285,1.86458,0
15.2389,1.86586,0
15.2492,1.86715,0
15.2596,1.86845,0
15.27,1.86975,0
15.2804,1.87106,0
15.2907,1.87238,0
15.3011,1.8737,0
15.3115,1.87503,0
15.3219,1.87637,0
15.3322,1.87772,0
15.3426,1.87908,0
15.353,1.88044,0
15.3633,1.88182,0
15.3737,1.8832,0
15.384,1.88459,0
15.3944,1.88599,0
15.4048,1.88739,0
15.4151,1.88881,0
15.4255,1.89023,0
15.4358,1.89167,0
15.4462,1.89311,0
15.4565,1.89457,0
15.4669,1.89603,0
15.4773,1.89751,0
15.4876,1.899,0
15.4979,1.90049,0
15.5083,1.902,0
15.5186,1.90353,0
15.529,1.90506,0
15.5393,1.90661,0
15.5497,1.90817,0
15.56,1.90974,0
15.5703,1.91132,0
15.5807,1.91292,0
15.591,1.91454,0
15.6013,1.91616,0
15.6116,1.91781,0
15.622,1.91946,0
15.6323,1.92113,0
15.6426,1.92282,0
15.6529,1.92452,0
15.6632,1.92623,0
15.6736,1.92796,0
15.6839,1.9297,0
15.6942,1.93145,0
15.7045,1.93322,0
15.7148,1.935,0
15.7251,1.93679,0
15.7354,1.9386,0
15.7457,1.94042,0
15.756,1.94225,0
15.7663,1.94409,0
15.7765,1.94595,0
15.7868,1.94782,0
15.7971,1.9497,0
15.8074,1.95159,0
15.8177,1.95349,0
15.828,1.95541,0
15.8382,1.95733,0
15.8485,1.95927,0
15.8588,1.96123,0
15.8691,1.96319,0
15.8793,1.96517,0
15.8896,1.96716,0
15.8998,1.96916,0
15.9101,1.97118,0
15.9204,1.9732,0
15.9306,1.97525,0
15.9409,1.9773,0
15.9511,1.97937,0
15.9614,1.98145,0
15.9716,1.98355,0
15.9818,1.98566,0
15.9921,1.98778,0
16.0023,1.98992,0
16.0125,1.99207,0
16.0228,1.99424,0
16.033,1.99642,0
16.0432,1.99862,0
16.0534,2.00083,0
16.0637,2.00306,0
16.0739,2.0053,0
16.0841,2.00756,0
16.0943,2.00984,0
16.1045,2.01214,0
16.1147,2.01445,0
16.1249,2.01678,0
16.1351,2.01913,0
16.1452,2.0215,0
16.1554,2.02388,0
16.1656,2.02629,0
16.1758,2.02871,0
16.1859,2.03116,0
16.1961,2.03362,0
16.2062,2.03611,0
16.2164,2.03862,0
16.2265,2.04115,0
16.2367,2.0437,0
16.2468,2.04627,0
16.2569,2.04886,0
16.2671,2.05148,0
16.2772,2.05412,0
16.2873,2.05678,0
16.2974,2.05947,0
16.3075,2.06218,0
16.3176,2.06492,0
16.3277,2.06768,0
16.3377,2.07046,0
16.3478,2.07327,0
16.3579,2.07611,0
16.3679,2.07897,0
16.378,2.08186,0
16.388,2.08477,0
16.3981,2.08771,0
16.4081,2.09068,0
16.4181,2.09368,0
16.4281,2.0967,0
16.4381,2.09976,0
16.4481,2.10284,0
16.4581,2.10595,0
16.4681,2.1091,0
16.478,2.11228,0
16.488,2.11549,0
16.4979,2.11873,0
16.5078,2.12201,0
16.5178,2.12532,0
16.5277,2.12867,0
16.5375,2.13205,0
16.5474,2.13547,0
16.5573,2.13892,0
16.5672,2.14242,0
16.577,2.14595,0
16.5868,2.14952,0
16.5966,2.15313,0
16.6064,2.15678,0
16.6162,2.16048,0
16.626,2.16421,0
16.6357,2.16799,0
16.6455,2.17182,0
16.6552,2.1757,0
16.6649,2.17963,0
16.6745,2.18361,0
16.6842,2.18764,0
16.6938,2.19173,0
16.7034,2.19588,0
16.713,2.20008,0
16.7225,2.20435,0
16.732,2.20868,0
16.7415,2.21307,0
16.751,2.21753,0
16.7604,2.22205,0
16.7698,2.22665,0
16.7791,2.23131,0
16.7885,2.23605,0
16.7977,2.24086,0
16.807,2.24574,0
16.8162,2.2507,0
16.8254,2.25573,0
16.8345,2.26084,0
16.8436,2.26602,0
16.8526,2.27126,0
16.8616,2.27658,0
16.8706,2.28197,0
16.8795,2.28742,0
16.8884,2.29294,0
16.8972,2.29853,0
16.906,2.30418,0
16.9148,2.3099,0
16.9235,2.31567,0
16.9321,2.32152,0
16.9408,2.32742,0
16.9494,2.33338,0
16.9579,2.33941,0
16.9664,2.34549,0
16.9749,2.35164,0
16.9833,2.35784,0
16.9917,2.36409,0
17,2.37041,0
